algo,step,u,v,capacity,utilization,up
heuristic_no_delay,2,J,D,51.991763189828205,0.0,True
heuristic_no_delay,2,D,K,71.00359978351344,0.0,True
heuristic_no_delay,2,K,D,71.00359978351344,0.0,True
heuristic_no_delay,2,D,L,53.58103919101485,0.0,True
heuristic_no_delay,2,L,D,53.58103919101485,0.0,True
heuristic_no_delay,2,D,M,37.680019342175804,0.0,True
heuristic_no_delay,2,M,D,37.680019342175804,0.0,True
heuristic_no_delay,2,E,G,78.60474135603619,0.0,True
heuristic_no_delay,2,G,E,78.60474135603619,0.0,True
heuristic_no_delay,2,E,H,36.58939244936226,0.0,True
heuristic_no_delay,2,H,E,36.58939244936226,0.0,True
heuristic_no_delay,2,E,M,65.45782694655597,0.0,True
heuristic_no_delay,2,M,E,65.45782694655597,0.0,True
heuristic_no_delay,2,E,N,76.22045536508304,0.0,True
heuristic_no_delay,2,N,E,76.22045536508304,0.0,True
heuristic_no_delay,2,F,G,60.462953806762215,0.0,True
heuristic_no_delay,2,G,F,60.462953806762215,0.0,True
heuristic_no_delay,2,F,I,22.296014438276494,0.0,True
heuristic_no_delay,2,I,F,22.296014438276494,0.0,True
heuristic_no_delay,2,F,J,62.2360774065752,0.0,True
heuristic_no_delay,2,J,F,62.2360774065752,0.0,True
heuristic_no_delay,2,F,K,41.6604604610538,0.0,True
heuristic_no_delay,2,K,F,41.6604604610538,0.0,True
heuristic_no_delay,2,F,M,57.44398512492053,0.0,True
heuristic_no_delay,2,M,F,57.44398512492053,0.0,True
heuristic_no_delay,2,F,N,27.045250471953022,0.0,True
heuristic_no_delay,2,N,F,27.045250471953022,0.0,True
heuristic_no_delay,2,G,K,78.74716441760097,0.0,True
heuristic_no_delay,2,K,G,78.74716441760097,0.0,True
heuristic_no_delay,2,G,M,60.09275267868955,0.0,True
heuristic_no_delay,2,M,G,60.09275267868955,0.0,True
heuristic_no_delay,2,H,I,33.04691391907383,0.0,True
heuristic_no_delay,2,I,H,33.04691391907383,0.0,True
heuristic_no_delay,2,H,J,38.442486491492815,0.0,True
heuristic_no_delay,2,J,H,38.442486491492815,0.0,True
heuristic_no_delay,2,H,N,73.41548381854531,0.0,True
heuristic_no_delay,2,N,H,73.41548381854531,0.0,True
heuristic_no_delay,2,H,O,57.81407709762046,0.0,True
heuristic_no_delay,2,O,H,57.81407709762046,0.0,True
heuristic_no_delay,2,I,K,34.73124898620571,0.0,True
heuristic_no_delay,2,K,I,34.73124898620571,0.0,True
heuristic_no_delay,2,I,M,25.83376567621533,0.0,True
heuristic_no_delay,2,M,I,25.83376567621533,0.0,True
heuristic_no_delay,2,I,N,73.67238894587685,0.0,True
heuristic_no_delay,2,N,I,73.67238894587685,0.0,True
heuristic_no_delay,2,J,M,45.71898067977815,0.0,True
heuristic_no_delay,2,M,J,45.71898067977815,0.0,True
heuristic_no_delay,2,J,N,74.57414460097336,0.0,False
heuristic_no_delay,2,N,J,74.57414460097336,0.0,False
heuristic_no_delay,2,K,N,60.455023308662746,0.0,True
heuristic_no_delay,2,N,K,60.455023308662746,0.0,True
heuristic_no_delay,2,L,N,58.51563433155407,0.0,True
heuristic_no_delay,2,N,L,58.51563433155407,0.0,True
heuristic_no_delay,2,L,O,31.957596703122682,0.0,True
heuristic_no_delay,2,O,L,31.957596703122682,0.0,True
heuristic_no_delay,2,M,N,24.222988214297434,0.0,True
heuristic_no_delay,2,N,M,24.222988214297434,0.0,True
heuristic_no_delay,2,M,O,46.2872183609134,0.0,True
heuristic_no_delay,2,O,M,46.2872183609134,0.0,True
heuristic_no_delay,2,N,O,68.93996285423216,0.0,True
heuristic_no_delay,2,O,N,68.93996285423216,0.0,True
heuristic_no_delay,3,A,B,35.970423384352436,0.0,True
heuristic_no_delay,3,B,A,35.970423384352436,0.0,True
heuristic_no_delay,3,A,D,39.04273505109231,0.0,True
heuristic_no_delay,3,D,A,39.04273505109231,0.0,True
heuristic_no_delay,3,A,G,31.33813920709726,0.0,True
heuristic_no_delay,3,G,A,31.33813920709726,0.0,True
heuristic_no_delay,3,B,C,33.6332662421983,0.0,True
heuristic_no_delay,3,C,B,33.6332662421983,0.0,True
heuristic_no_delay,3,B,D,74.64873706223574,0.0,True
heuristic_no_delay,3,D,B,74.64873706223574,0.0,True
heuristic_no_delay,3,B,E,32.55523914133637,0.0,True
heuristic_no_delay,3,E,B,32.55523914133637,0.0,True
heuristic_no_delay,3,B,K,73.2530125308891,0.0,True
heuristic_no_delay,3,K,B,73.2530125308891,0.0,True
heuristic_no_delay,3,B,N,42.064380090612865,0.0,True
heuristic_no_delay,3,N,B,42.064380090612865,0.0,True
heuristic_no_delay,3,C,D,78.70086437048818,0.0,True
heuristic_no_delay,3,D,C,78.70086437048818,0.0,True
heuristic_no_delay,3,C,E,63.54952197056993,0.0,True
heuristic_no_delay,3,E,C,63.54952197056993,0.0,True
heuristic_no_delay,3,C,F,22.010223403330727,0.0,True
heuristic_no_delay,3,F,C,22.010223403330727,0.0,True
heuristic_no_delay,3,C,G,75.57894807848994,0.0,True
heuristic_no_delay,3,G,C,75.57894807848994,0.0,True
heuristic_no_delay,3,C,I,44.18562402776694,0.0,True
heuristic_no_delay,3,I,C,44.18562402776694,0.0,True
heuristic_no_delay,3,C,J,58.36512218414315,0.0,True
heuristic_no_delay,3,J,C,58.36512218414315,0.0,True
heuristic_no_delay,3,C,M,38.08965362308838,0.0,True
heuristic_no_delay,3,M,C,38.08965362308838,0.0,True
heuristic_no_delay,3,C,N,29.578950315200476,0.0,True
heuristic_no_delay,3,N,C,29.578950315200476,0.0,True
heuristic_no_delay,3,D,F,50.00955449915601,8.056943309131281,True
heuristic_no_delay,3,F,D,50.00955449915601,8.056943309131281,True
heuristic_no_delay,3,D,H,49.64356187171657,0.0,True
heuristic_no_delay,3,H,D,49.64356187171657,0.0,True
heuristic_no_delay,3,D,I,56.30000529431061,0.0,True
heuristic_no_delay,3,I,D,56.30000529431061,0.0,True
heuristic_no_delay,3,D,J,51.991763189828205,0.0,True
heuristic_no_delay,3,J,D,51.991763189828205,0.0,True
heuristic_no_delay,3,D,K,71.00359978351344,0.0,True
heuristic_no_delay,3,K,D,71.00359978351344,0.0,True
heuristic_no_delay,3,D,L,53.58103919101485,8.056943309131281,True
heuristic_no_delay,3,L,D,53.58103919101485,8.056943309131281,True
heuristic_no_delay,3,D,M,37.680019342175804,0.0,True
heuristic_no_delay,3,M,D,37.680019342175804,0.0,True
heuristic_no_delay,3,E,G,78.60474135603619,4.306135258436866,True
heuristic_no_delay,3,G,E,78.60474135603619,4.306135258436866,True
heuristic_no_delay,3,E,H,36.58939244936226,4.306135258436866,True
heuristic_no_delay,3,H,E,36.58939244936226,4.306135258436866,True
heuristic_no_delay,3,E,M,65.45782694655597,0.0,True
heuristic_no_delay,3,M,E,65.45782694655597,0.0,True
heuristic_no_delay,3,E,N,76.22045536508304,0.0,True
heuristic_no_delay,3,N,E,76.22045536508304,0.0,True
heuristic_no_delay,3,F,G,60.462953806762215,0.0,True
heuristic_no_delay,3,G,F,60.462953806762215,0.0,True
heuristic_no_delay,3,F,I,22.296014438276494,0.0,True
heuristic_no_delay,3,I,F,22.296014438276494,0.0,True
heuristic_no_delay,3,F,J,62.2360774065752,0.0,True
heuristic_no_delay,3,J,F,62.2360774065752,0.0,True
heuristic_no_delay,3,F,K,41.6604604610538,0.0,True
heuristic_no_delay,3,K,F,41.6604604610538,0.0,True
heuristic_no_delay,3,F,M,57.44398512492053,0.0,True
heuristic_no_delay,3,M,F,57.44398512492053,0.0,True
heuristic_no_delay,3,F,N,27.045250471953022,0.0,True
heuristic_no_delay,3,N,F,27.045250471953022,0.0,True
heuristic_no_delay,3,G,K,78.74716441760097,0.0,True
heuristic_no_delay,3,K,G,78.74716441760097,0.0,True
heuristic_no_delay,3,G,M,60.09275267868955,0.0,True
heuristic_no_delay,3,M,G,60.09275267868955,0.0,True
heuristic_no_delay,3,H,I,33.04691391907383,0.0,True
heuristic_no_delay,3,I,H,33.04691391907383,0.0,True
heuristic_no_delay,3,H,J,38.442486491492815,0.0,True
heuristic_no_delay,3,J,H,38.442486491492815,0.0,True
heuristic_no_delay,3,H,N,73.41548381854531,0.0,True
heuristic_no_delay,3,N,H,73.41548381854531,0.0,True
heuristic_no_delay,3,H,O,57.81407709762046,0.0,True
heuristic_no_delay,3,O,H,57.81407709762046,0.0,True
heuristic_no_delay,3,I,K,34.73124898620571,0.0,True
heuristic_no_delay,3,K,I,34.73124898620571,0.0,True
heuristic_no_delay,3,I,M,25.83376567621533,0.0,True
heuristic_no_delay,3,M,I,25.83376567621533,0.0,True
heuristic_no_delay,3,I,N,73.67238894587685,0.0,True
heuristic_no_delay,3,N,I,73.67238894587685,0.0,True
heuristic_no_delay,3,J,M,45.71898067977815,0.0,True
heuristic_no_delay,3,M,J,45.71898067977815,0.0,True
heuristic_no_delay,3,J,N,74.57414460097336,0.0,True
heuristic_no_delay,3,N,J,74.57414460097336,0.0,True
heuristic_no_delay,3,K,N,60.455023308662746,0.0,True
heuristic_no_delay,3,N,K,60.455023308662746,0.0,True
heuristic_no_delay,3,L,N,58.51563433155407,0.0,True
heuristic_no_delay,3,N,L,58.51563433155407,0.0,True
heuristic_no_delay,3,L,O,31.957596703122682,0.0,True
heuristic_no_delay,3,O,L,31.957596703122682,0.0,True
heuristic_no_delay,3,M,N,24.222988214297434,0.0,True
heuristic_no_delay,3,N,M,24.222988214297434,0.0,True
heuristic_no_delay,3,M,O,46.2872183609134,0.0,True
heuristic_no_delay,3,O,M,46.2872183609134,0.0,True
heuristic_no_delay,3,N,O,68.93996285423216,0.0,True
heuristic_no_delay,3,O,N,68.93996285423216,0.0,True
heuristic_no_delay,4,A,B,35.970423384352436,0.0,True
heuristic_no_delay,4,B,A,35.970423384352436,0.0,True
heuristic_no_delay,4,A,D,39.04273505109231,0.0,True
heuristic_no_delay,4,D,A,39.04273505109231,0.0,True
heuristic_no_delay,4,A,G,31.33813920709726,0.0,True
heuristic_no_delay,4,G,A,31.33813920709726,0.0,True
heuristic_no_delay,4,B,C,33.6332662421983,0.0,True
heuristic_no_delay,4,C,B,33.6332662421983,0.0,True
heuristic_no_delay,4,B,D,74.64873706223574,0.0,True
heuristic_no_delay,4,D,B,74.64873706223574,0.0,True
heuristic_no_delay,4,B,E,32.55523914133637,0.0,True
heuristic_no_delay,4,E,B,32.55523914133637,0.0,True
heuristic_no_delay,4,B,K,73.2530125308891,0.0,True
heuristic_no_delay,4,K,B,73.2530125308891,0.0,True
heuristic_no_delay,4,B,N,42.064380090612865,0.0,True
heuristic_no_delay,4,N,B,42.064380090612865,0.0,True
heuristic_no_delay,4,C,D,78.70086437048818,0.0,True
heuristic_no_delay,4,D,C,78.70086437048818,0.0,True
heuristic_no_delay,4,C,E,63.54952197056993,0.0,True
heuristic_no_delay,4,E,C,63.54952197056993,0.0,True
heuristic_no_delay,4,C,F,22.010223403330727,0.0,True
heuristic_no_delay,4,F,C,22.010223403330727,0.0,True
heuristic_no_delay,4,C,G,75.57894807848994,0.0,True
heuristic_no_delay,4,G,C,75.57894807848994,0.0,True
heuristic_no_delay,4,C,I,44.18562402776694,0.0,True
heuristic_no_delay,4,I,C,44.18562402776694,0.0,True
heuristic_no_delay,4,C,J,58.36512218414315,0.0,False
heuristic_no_delay,4,J,C,58.36512218414315,0.0,False
heuristic_no_delay,4,C,M,38.08965362308838,0.0,True
heuristic_no_delay,4,M,C,38.08965362308838,0.0,True
heuristic_no_delay,4,C,N,29.578950315200476,0.0,True
heuristic_no_delay,4,N,C,29.578950315200476,0.0,True
heuristic_no_delay,4,D,F,50.00955449915601,8.056943309131281,True
heuristic_no_delay,4,F,D,50.00955449915601,8.056943309131281,True
heuristic_no_delay,4,D,H,49.64356187171657,0.0,True
heuristic_no_delay,4,H,D,49.64356187171657,0.0,True
heuristic_no_delay,4,D,I,56.30000529431061,0.0,True
heuristic_no_delay,4,I,D,56.30000529431061,0.0,True
heuristic_no_delay,4,D,J,51.991763189828205,0.0,True
heuristic_no_delay,4,J,D,51.991763189828205,0.0,True
heuristic_no_delay,4,D,K,71.00359978351344,0.0,True
heuristic_no_delay,4,K,D,71.00359978351344,0.0,True
heuristic_no_delay,4,D,L,53.58103919101485,8.056943309131281,True
heuristic_no_delay,4,L,D,53.58103919101485,8.056943309131281,True
heuristic_no_delay,4,D,M,37.680019342175804,0.0,True
heuristic_no_delay,4,M,D,37.680019342175804,0.0,True
heuristic_no_delay,4,E,G,78.60474135603619,4.306135258436866,True
heuristic_no_delay,4,G,E,78.60474135603619,4.306135258436866,True
heuristic_no_delay,4,E,H,36.58939244936226,4.306135258436866,True
heuristic_no_delay,4,H,E,36.58939244936226,4.306135258436866,True
heuristic_no_delay,4,E,M,65.45782694655597,0.0,True
heuristic_no_delay,4,M,E,65.45782694655597,0.0,True
heuristic_no_delay,4,E,N,76.22045536508304,0.0,True
heuristic_no_delay,4,N,E,76.22045536508304,0.0,True
heuristic_no_delay,4,F,G,60.462953806762215,0.0,True
heuristic_no_delay,4,G,F,60.462953806762215,0.0,True
heuristic_no_delay,4,F,I,22.296014438276494,0.0,True
heuristic_no_delay,4,I,F,22.296014438276494,0.0,True
heuristic_no_delay,4,F,J,62.2360774065752,0.0,True
heuristic_no_delay,4,J,F,62.2360774065752,0.0,True
heuristic_no_delay,4,F,K,41.6604604610538,0.0,True
heuristic_no_delay,4,K,F,41.6604604610538,0.0,True
