,"('F', 'F')","('F', 'E')","('F', 'I')","('F', 'A')","('F', 'H')","('F', 'D')","('F', 'C')","('F', 'B')","('F', 'G')","('F', 'J')","('E', 'F')","('E', 'E')","('E', 'I')","('E', 'A')","('E', 'H')","('E', 'D')","('E', 'C')","('E', 'B')","('E', 'G')","('E', 'J')","('I', 'F')","('I', 'E')","('I', 'I')","('I', 'A')","('I', 'H')","('I', 'D')","('I', 'C')","('I', 'B')","('I', 'G')","('I', 'J')","('A', 'F')","('A', 'E')","('A', 'I')","('A', 'A')","('A', 'H')","('A', 'D')","('A', 'C')","('A', 'B')","('A', 'G')","('A', 'J')","('H', 'F')","('H', 'E')","('H', 'I')","('H', 'A')","('H', 'H')","('H', 'D')","('H', 'C')","('H', 'B')","('H', 'G')","('H', 'J')","('D', 'F')","('D', 'E')","('D', 'I')","('D', 'A')","('D', 'H')","('D', 'D')","('D', 'C')","('D', 'B')","('D', 'G')","('D', 'J')","('C', 'F')","('C', 'E')","('C', 'I')","('C', 'A')","('C', 'H')","('C', 'D')","('C', 'C')","('C', 'B')","('C', 'G')","('C', 'J')","('B', 'F')","('B', 'E')","('B', 'I')","('B', 'A')","('B', 'H')","('B', 'D')","('B', 'C')","('B', 'B')","('B', 'G')","('B', 'J')","('G', 'F')","('G', 'E')","('G', 'I')","('G', 'A')","('G', 'H')","('G', 'D')","('G', 'C')","('G', 'B')","('G', 'G')","('G', 'J')","('J', 'F')","('J', 'E')","('J', 'I')","('J', 'A')","('J', 'H')","('J', 'D')","('J', 'C')","('J', 'B')","('J', 'G')","('J', 'J')"
10,,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,
11,,0.0,0.0,13.921795677048454,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,
12,,0.0,0.0,13.921795677048454,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,
13,,0.0,,,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,
14,,0.0,0.0,13.921795677048454,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,
15,,0.0,0.0,13.921795677048454,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,
16,,0.0,0.0,13.921795677048454,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,
17,,0.0,0.0,13.921795677048454,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,
18,,0.0,0.0,13.921795677048454,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,
19,,0.0,0.0,13.921795677048454,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,
20,,0.0,0.0,13.921795677048454,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.341104266407502,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,13.341104266407502,0.0,10.904925124490397,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,
21,,0.0,0.0,13.921795677048454,0.0,0.0,11.037260313668911,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.341104266407502,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,,13.341104266407502,0.0,10.904925124490397,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,9.011647870223289,,0.0,0.0,,
22,,0.0,0.0,13.921795677048454,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.341104266407502,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,13.341104266407502,0.0,10.904925124490397,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,
23,,0.0,0.0,13.921795677048454,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.341104266407502,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,13.341104266407502,0.0,10.904925124490397,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,
24,,0.0,0.0,13.921795677048454,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.341104266407502,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,13.341104266407502,0.0,10.904925124490397,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,
25,,0.0,0.0,13.921795677048454,0.0,,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.341104266407502,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.011647870223289,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,13.341104266407502,0.0,10.904925124490397,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,9.011647870223289,0.0,0.0,0.0,0.0,
26,,0.0,0.0,,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,8.701809671168826,0.0,0.0,0.0,13.341104266407502,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,5.265359696838637,0.0,8.701809671168826,0.0,0.0,,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,13.341104266407502,0.0,10.904925124490397,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5.265359696838637,9.011647870223289,0.0,0.0,0.0,0.0,
27,,0.0,0.0,13.921795677048454,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,13.341104266407502,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.7787134167164185,0.0,0.0,13.921795677048454,0.0,0.0,,5.297972194380703,0.0,0.0,,10.904925124490397,5.265359696838637,0.0,,0.0,5.297972194380703,,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,7.7787134167164185,,0.0,0.0,0.0,,,0.0,0.0,13.341104266407502,0.0,10.904925124490397,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5.265359696838637,9.011647870223289,0.0,0.0,0.0,0.0,
28,,0.0,0.0,13.921795677048454,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,8.701809671168826,0.0,0.0,0.0,13.341104266407502,0.0,0.0,0.0,,0.0,0.0,,0.0,7.7787134167164185,0.0,0.0,13.921795677048454,0.0,0.0,,5.297972194380703,,0.0,,10.904925124490397,5.265359696838637,0.0,8.701809671168826,0.0,5.297972194380703,,0.0,0.0,0.0,11.881619584333132,9.011647870223289,0.0,0.0,,,0.0,,0.0,10.449414806032166,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,7.7787134167164185,,0.0,10.449414806032166,0.0,,,0.0,0.0,13.341104266407502,0.0,10.904925124490397,11.881619584333132,0.0,0.0,,,0.0,0.0,0.0,0.0,5.265359696838637,9.011647870223289,0.0,0.0,0.0,0.0,
29,,0.0,0.0,,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,8.701809671168826,0.0,0.0,0.0,13.341104266407502,0.0,0.0,0.0,,0.0,,14.852215206607578,0.0,7.7787134167164185,0.0,0.0,,0.0,0.0,,5.297972194380703,0.0,0.0,,10.904925124490397,5.265359696838637,0.0,8.701809671168826,,5.297972194380703,,0.0,0.0,0.0,11.881619584333132,9.011647870223289,0.0,0.0,14.852215206607578,0.0,0.0,,0.0,,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,7.7787134167164185,,0.0,,0.0,,,0.0,0.0,13.341104266407502,0.0,10.904925124490397,11.881619584333132,0.0,0.0,,,,0.0,0.0,0.0,5.265359696838637,9.011647870223289,0.0,0.0,0.0,,
30,,0.0,0.0,13.921795677048454,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,8.701809671168826,0.0,0.0,0.0,13.341104266407502,0.0,0.0,0.0,,0.0,0.0,14.852215206607578,0.0,7.7787134167164185,0.0,0.0,13.921795677048454,0.0,0.0,,5.297972194380703,0.0,0.0,,,5.265359696838637,0.0,8.701809671168826,0.0,5.297972194380703,,0.0,0.0,0.0,11.881619584333132,9.011647870223289,0.0,0.0,14.852215206607578,0.0,0.0,,0.0,10.449414806032166,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,7.7787134167164185,,0.0,10.449414806032166,0.0,,,0.0,0.0,13.341104266407502,0.0,,11.881619584333132,0.0,0.0,,,,0.0,0.0,0.0,5.265359696838637,9.011647870223289,0.0,0.0,0.0,,
31,,0.0,0.0,13.921795677048454,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,,0.0,0.0,8.701809671168826,0.0,0.0,0.0,13.341104266407502,0.0,0.0,0.0,,0.0,0.0,14.852215206607578,0.0,7.7787134167164185,0.0,0.0,13.921795677048454,0.0,0.0,,5.297972194380703,0.0,12.415504997598328,,10.904925124490397,5.265359696838637,0.0,8.701809671168826,0.0,5.297972194380703,,0.0,0.0,0.0,11.881619584333132,9.011647870223289,0.0,0.0,14.852215206607578,0.0,0.0,,0.0,10.449414806032166,0.0,,11.037260313668911,0.0,0.0,12.415504997598328,0.0,0.0,,0.0,0.0,0.0,,0.0,7.7787134167164185,,0.0,10.449414806032166,0.0,,,0.0,0.0,13.341104266407502,0.0,10.904925124490397,11.881619584333132,0.0,0.0,,,,0.0,0.0,0.0,5.265359696838637,9.011647870223289,,0.0,0.0,,
