,"('J', 'J')","('J', 'C')","('J', 'H')","('J', 'A')","('J', 'E')","('J', 'F')","('J', 'I')","('J', 'D')","('J', 'G')","('J', 'B')","('C', 'J')","('C', 'C')","('C', 'H')","('C', 'A')","('C', 'E')","('C', 'F')","('C', 'I')","('C', 'D')","('C', 'G')","('C', 'B')","('H', 'J')","('H', 'C')","('H', 'H')","('H', 'A')","('H', 'E')","('H', 'F')","('H', 'I')","('H', 'D')","('H', 'G')","('H', 'B')","('A', 'J')","('A', 'C')","('A', 'H')","('A', 'A')","('A', 'E')","('A', 'F')","('A', 'I')","('A', 'D')","('A', 'G')","('A', 'B')","('E', 'J')","('E', 'C')","('E', 'H')","('E', 'A')","('E', 'E')","('E', 'F')","('E', 'I')","('E', 'D')","('E', 'G')","('E', 'B')","('F', 'J')","('F', 'C')","('F', 'H')","('F', 'A')","('F', 'E')","('F', 'F')","('F', 'I')","('F', 'D')","('F', 'G')","('F', 'B')","('I', 'J')","('I', 'C')","('I', 'H')","('I', 'A')","('I', 'E')","('I', 'F')","('I', 'I')","('I', 'D')","('I', 'G')","('I', 'B')","('D', 'J')","('D', 'C')","('D', 'H')","('D', 'A')","('D', 'E')","('D', 'F')","('D', 'I')","('D', 'D')","('D', 'G')","('D', 'B')","('G', 'J')","('G', 'C')","('G', 'H')","('G', 'A')","('G', 'E')","('G', 'F')","('G', 'I')","('G', 'D')","('G', 'G')","('G', 'B')","('B', 'J')","('B', 'C')","('B', 'H')","('B', 'A')","('B', 'E')","('B', 'F')","('B', 'I')","('B', 'D')","('B', 'G')","('B', 'B')"
10,,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,0.0,0.0,
11,,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.921795677048454,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,13.921795677048454,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,0.0,0.0,
12,,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.921795677048454,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,13.921795677048454,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,13.094304566778266,,0.0,0.0,
13,,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,,0.0,,,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,0.0,0.0,
14,,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.921795677048454,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,13.921795677048454,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,0.0,0.0,
15,,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.921795677048454,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,13.921795677048454,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,0.0,0.0,
16,,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,13.921795677048454,0.0,0.0,10.904925124490397,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,13.921795677048454,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,13.094304566778266,0.0,0.0,0.0,
17,,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,9.011647870223289,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.921795677048454,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,13.921795677048454,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,0.0,0.0,
18,,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.921795677048454,0.0,,10.904925124490397,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,13.921795677048454,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,0.0,0.0,
19,,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.921795677048454,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,13.921795677048454,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,,
20,,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.921795677048454,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,13.341104266407502,0.0,0.0,11.037260313668911,0.0,13.921795677048454,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,13.341104266407502,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,0.0,,
21,,0.0,9.011647870223289,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.921795677048454,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,13.341104266407502,0.0,0.0,11.037260313668911,0.0,13.921795677048454,0.0,,0.0,0.0,,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,10.904925124490397,13.341104266407502,,0.0,0.0,,,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,,,
22,,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.921795677048454,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,13.341104266407502,0.0,0.0,11.037260313668911,0.0,13.921795677048454,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,13.341104266407502,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,0.0,,
23,,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.921795677048454,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,13.341104266407502,0.0,0.0,,0.0,13.921795677048454,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,13.341104266407502,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,0.0,,
24,,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.921795677048454,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,13.341104266407502,0.0,0.0,11.037260313668911,0.0,13.921795677048454,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,13.341104266407502,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,0.0,,
25,,0.0,9.011647870223289,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,13.921795677048454,,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,13.341104266407502,0.0,0.0,11.037260313668911,0.0,13.921795677048454,0.0,,0.0,,0.0,13.094304566778266,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,13.341104266407502,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,0.0,,
26,,0.0,9.011647870223289,5.265359696838637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,0.0,8.701809671168826,0.0,0.0,0.0,0.0,0.0,5.265359696838637,0.0,0.0,,0.0,,0.0,0.0,10.904925124490397,,0.0,0.0,8.701809671168826,0.0,,0.0,0.0,0.0,13.341104266407502,0.0,0.0,11.037260313668911,0.0,,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,13.341104266407502,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,0.0,,
27,,0.0,9.011647870223289,5.265359696838637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,5.297972194380703,,0.0,0.0,0.0,0.0,0.0,5.265359696838637,0.0,5.297972194380703,,0.0,13.921795677048454,0.0,0.0,10.904925124490397,,0.0,0.0,,0.0,,0.0,0.0,0.0,13.341104266407502,0.0,0.0,11.037260313668911,0.0,13.921795677048454,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,7.7787134167164185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,13.341104266407502,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,13.094304566778266,7.7787134167164185,0.0,,
28,,0.0,9.011647870223289,5.265359696838637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,5.297972194380703,8.701809671168826,0.0,0.0,0.0,11.881619584333132,0.0,5.265359696838637,0.0,5.297972194380703,,0.0,13.921795677048454,0.0,,10.904925124490397,,0.0,0.0,8.701809671168826,0.0,,0.0,0.0,0.0,13.341104266407502,0.0,0.0,11.037260313668911,0.0,13.921795677048454,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,7.7787134167164185,0.0,0.0,0.0,,0.0,0.0,,,0.0,10.449414806032166,0.0,0.0,11.881619584333132,10.904925124490397,13.341104266407502,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,13.094304566778266,7.7787134167164185,10.449414806032166,,
29,,0.0,9.011647870223289,5.265359696838637,0.0,0.0,0.0,0.0,12.759999115462449,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,5.297972194380703,8.701809671168826,0.0,,0.0,11.881619584333132,0.0,5.265359696838637,0.0,5.297972194380703,,0.0,,0.0,0.0,10.904925124490397,,0.0,0.0,8.701809671168826,0.0,,0.0,0.0,0.0,13.341104266407502,0.0,0.0,11.037260313668911,0.0,,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,,14.852215206607578,0.0,7.7787134167164185,0.0,0.0,0.0,0.0,0.0,0.0,14.852215206607578,,0.0,,12.759999115462449,0.0,11.881619584333132,10.904925124490397,13.341104266407502,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,13.094304566778266,7.7787134167164185,,,
30,,0.0,9.011647870223289,5.265359696838637,0.0,0.0,0.0,0.0,12.759999115462449,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,5.297972194380703,8.701809671168826,0.0,0.0,0.0,11.881619584333132,0.0,5.265359696838637,0.0,5.297972194380703,,0.0,13.921795677048454,0.0,0.0,,,0.0,0.0,8.701809671168826,0.0,,0.0,0.0,0.0,13.341104266407502,0.0,0.0,11.037260313668911,0.0,13.921795677048454,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,,14.852215206607578,0.0,7.7787134167164185,0.0,0.0,0.0,0.0,0.0,0.0,14.852215206607578,,0.0,10.449414806032166,12.759999115462449,0.0,11.881619584333132,,13.341104266407502,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,13.094304566778266,7.7787134167164185,10.449414806032166,,
31,,0.0,9.011647870223289,5.265359696838637,0.0,0.0,0.0,,12.759999115462449,0.0,0.0,,0.0,12.415504997598328,0.0,11.037260313668911,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,5.297972194380703,8.701809671168826,0.0,0.0,0.0,11.881619584333132,0.0,5.265359696838637,12.415504997598328,5.297972194380703,,0.0,13.921795677048454,0.0,0.0,10.904925124490397,,0.0,0.0,8.701809671168826,0.0,,0.0,0.0,0.0,13.341104266407502,0.0,0.0,11.037260313668911,0.0,13.921795677048454,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,,14.852215206607578,0.0,7.7787134167164185,,0.0,0.0,0.0,0.0,0.0,14.852215206607578,,0.0,10.449414806032166,12.759999115462449,0.0,11.881619584333132,10.904925124490397,13.341104266407502,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,13.094304566778266,7.7787134167164185,10.449414806032166,,
32,,0.0,9.011647870223289,5.265359696838637,0.0,0.0,0.0,0.0,12.759999115462449,0.0,0.0,,0.0,12.415504997598328,0.0,11.037260313668911,,0.0,0.0,0.0,9.011647870223289,0.0,,5.297972194380703,8.701809671168826,0.0,0.0,0.0,11.881619584333132,0.0,5.265359696838637,12.415504997598328,5.297972194380703,,0.0,13.921795677048454,0.0,0.0,10.904925124490397,,0.0,0.0,8.701809671168826,0.0,,0.0,0.0,0.0,13.341104266407502,0.0,0.0,11.037260313668911,0.0,13.921795677048454,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,,0.0,0.0,0.0,0.0,,14.852215206607578,0.0,7.7787134167164185,0.0,0.0,0.0,0.0,0.0,0.0,14.852215206607578,,0.0,10.449414806032166,12.759999115462449,0.0,11.881619584333132,10.904925124490397,13.341104266407502,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,13.094304566778266,7.7787134167164185,10.449414806032166,,
33,,0.0,9.011647870223289,5.265359696838637,0.0,0.0,0.0,0.0,12.759999115462449,,0.0,,0.0,12.415504997598328,0.0,,0.0,0.0,0.0,0.0,9.011647870223289,0.0,,5.297972194380703,8.701809671168826,0.0,0.0,0.0,,0.0,5.265359696838637,12.415504997598328,5.297972194380703,,0.0,13.921795677048454,0.0,0.0,10.904925124490397,,0.0,0.0,8.701809671168826,0.0,,0.0,0.0,0.0,13.341104266407502,0.0,0.0,,0.0,13.921795677048454,0.0,,0.0,,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,,14.852215206607578,0.0,7.7787134167164185,0.0,0.0,0.0,0.0,0.0,,14.852215206607578,,0.0,10.449414806032166,12.759999115462449,0.0,,10.904925124490397,13.341104266407502,0.0,0.0,0.0,,,,0.0,0.0,,0.0,13.094304566778266,7.7787134167164185,10.449414806032166,,
