algo,step,total,accepted,dropped,acceptance_rate,loss_rate
heuristic_no_delay,0,21.324908069407,0.0,21.324908069407,0.0,1.0
heuristic_no_delay,1,47.97870276887409,18.545896302212498,29.432806466661596,0.3865443463853725,0.6134556536146275
heuristic_no_delay,2,63.55960672133464,18.545896302212498,45.01371041912214,0.29178746154807966,0.7082125384519203
heuristic_no_delay,3,119.0236962338358,43.2720534373488,75.751642796487,0.3635583065101243,0.6364416934898758
heuristic_no_delay,4,119.0236962338358,43.2720534373488,75.751642796487,0.3635583065101243,0.6364416934898758
heuristic_no_delay,5,133.07246884617385,43.2720534373488,89.80041540882505,0.32517660348940747,0.6748233965105925
heuristic_no_delay,6,143.01089240375626,53.21047699493121,89.80041540882505,0.3720728966903056,0.6279271033096944
heuristic_no_delay,7,143.01089240375626,53.21047699493121,89.80041540882505,0.3720728966903056,0.6279271033096944
heuristic_no_delay,8,165.6571669617341,53.21047699493114,112.44668996680296,0.3212084208057383,0.6787915791942617
heuristic_no_delay,9,187.45121349571048,53.210476994931156,134.24073650077932,0.2838630703030834,0.7161369296969167
heuristic_no_delay,10,210.9765918814985,53.210476994931156,157.76611488656735,0.2522103353760613,0.7477896646239387
heuristic_no_delay,11,233.2335728368388,75.46745795027144,157.76611488656735,0.32357030350457117,0.6764296964954288
heuristic_no_delay,12,249.96253419999567,92.19641931342832,157.76611488656735,0.3688409529392182,0.6311590470607819
heuristic_no_delay,13,249.96253419999567,92.19641931342832,157.76611488656735,0.3688409529392182,0.6311590470607819
heuristic_no_delay,14,281.9527262319819,103.15255962200675,178.80016660997515,0.3658505487800676,0.6341494512199324
heuristic_no_delay,15,302.61251910154044,123.81235249156529,178.80016660997515,0.40914484588795397,0.590855154112046
heuristic_no_delay,16,302.61251910154044,123.81235249156529,178.80016660997515,0.40914484588795397,0.590855154112046
heuristic_no_delay,17,322.6300654489765,123.81235249156538,198.81771295741112,0.3837594996587388,0.6162405003412612
heuristic_no_delay,18,331.4326695260933,123.81235249156546,207.62031703452786,0.37356713406859204,0.626432865931408
heuristic_no_delay,19,343.31876191044233,123.81235249156552,219.5064094188768,0.36063380807560713,0.6393661919243929
heuristic_no_delay,20,366.8745999260207,147.3681905071439,219.5064094188768,0.40168545474900774,0.5983145452509923
heuristic_no_delay,21,366.8745999260207,147.3681905071439,219.5064094188768,0.40168545474900774,0.5983145452509923
heuristic_no_delay,22,366.8745999260207,147.3681905071439,219.5064094188768,0.40168545474900774,0.5983145452509923
heuristic_no_delay,23,366.8745999260207,147.3681905071439,219.5064094188768,0.40168545474900774,0.5983145452509923
heuristic_no_delay,24,366.8745999260207,147.3681905071439,219.5064094188768,0.40168545474900774,0.5983145452509923
heuristic_no_delay,25,390.6215550949588,147.36819050714394,243.25336458781487,0.37726589478995654,0.6227341052100435
heuristic_no_delay,26,390.6215550949588,147.36819050714394,243.25336458781487,0.37726589478995654,0.6227341052100435
heuristic_no_delay,27,410.2720747638216,147.36819050714388,262.9038842566777,0.3591962494449038,0.6408037505550962
heuristic_no_delay,28,457.9430560801283,147.36819050714382,310.5748655729845,0.32180461861039367,0.6781953813896063
heuristic_no_delay,29,457.9430560801283,147.36819050714382,310.5748655729845,0.32180461861039367,0.6781953813896063
heuristic_no_delay,30,457.9430560801283,147.36819050714382,310.5748655729845,0.32180461861039367,0.6781953813896063
heuristic_no_delay,31,499.9185069309445,147.36819050714388,352.5503164238006,0.29478442678958544,0.7052155732104145
heuristic_no_delay,32,541.2083213168589,147.36819050714388,393.84013080971505,0.2722947610054666,0.7277052389945334
heuristic_no_delay,33,541.2083213168589,147.36819050714388,393.84013080971505,0.2722947610054666,0.7277052389945334
heuristic_no_delay,34,557.1689064169965,147.36819050714377,409.8007159098527,0.2644946421271585,0.7355053578728414
heuristic_no_delay,35,557.1689064169965,147.36819050714377,409.8007159098527,0.2644946421271585,0.7355053578728414
heuristic_no_delay,36,577.6973622099318,167.8966463000791,409.8007159098527,0.29063079958995286,0.7093692004100471
heuristic_no_delay,37,577.6973622099318,167.8966463000791,409.8007159098527,0.29063079958995286,0.7093692004100471
heuristic_no_delay,38,586.1453785085173,176.34466259866457,409.8007159098527,0.30085482043274714,0.6991451795672529
heuristic_no_delay,39,611.9918740812851,185.12500047174785,426.86687360953727,0.3024958472686509,0.6975041527313491
heuristic_no_delay,40,632.9108140429495,185.1250004717479,447.7858135712016,0.292497768033373,0.707502231966627
heuristic_no_delay,41,632.9108140429495,185.1250004717479,447.7858135712016,0.292497768033373,0.707502231966627
heuristic_no_delay,42,669.7775232628595,185.1250004717478,484.6525227911117,0.27639775006169326,0.7236022499383067
heuristic_no_delay,43,709.5580744125549,185.12500047174785,524.433073940807,0.26090183051614674,0.7390981694838532
heuristic_no_delay,44,724.0245345728231,185.12500047174785,538.8995341010752,0.2556888497997823,0.7443111502002177
heuristic_no_delay,45,724.0245345728231,185.12500047174785,538.8995341010752,0.2556888497997823,0.7443111502002177
heuristic_no_delay,46,724.0245345728231,185.12500047174785,538.8995341010752,0.2556888497997823,0.7443111502002177
heuristic_no_delay,47,724.0245345728231,185.12500047174785,538.8995341010752,0.2556888497997823,0.7443111502002177
heuristic_no_delay,48,724.0245345728231,185.12500047174785,538.8995341010752,0.2556888497997823,0.7443111502002177
heuristic_no_delay,49,735.5037116179094,185.12500047174785,550.3787111461615,0.2516982546077475,0.7483017453922525
heuristic_no_delay,50,735.5037116179094,185.12500047174785,550.3787111461615,0.2516982546077475,0.7483017453922525
heuristic_no_delay,51,735.5037116179094,185.12500047174785,550.3787111461615,0.2516982546077475,0.7483017453922525
heuristic_no_delay,52,752.7689197576655,202.3902086115039,550.3787111461615,0.26886100541539126,0.7311389945846087
heuristic_no_delay,53,752.7689197576655,202.3902086115039,550.3787111461615,0.26886100541539126,0.7311389945846087
heuristic_no_delay,54,794.7840377942069,186.27632199324103,608.5077158009659,0.2343735066826713,0.7656264933173287
heuristic_no_delay,55,805.3006350254201,212.90680584271672,592.3938291827034,0.2643817682274597,0.7356182317725403
heuristic_no_delay,56,832.8704964239477,221.21371326615758,611.6567831577901,0.2656039735060508,0.7343960264939492
heuristic_no_delay,57,848.1155725179323,221.21371326615758,626.9018592517747,0.2608296798623873,0.7391703201376127
heuristic_no_delay,58,862.3840136903001,235.4821544385254,626.9018592517747,0.27305950794571654,0.7269404920542835
heuristic_no_delay,59,862.3840136903001,235.4821544385254,626.9018592517747,0.27305950794571654,0.7269404920542835
heuristic_no_delay,60,915.3324242880667,267.29499124493395,648.0374330431328,0.2920195812497655,0.7079804187502344
heuristic_no_delay,61,936.6798308918749,267.29499124493384,669.384839646941,0.285364307450097,0.714635692549903
heuristic_no_delay,62,936.6798308918749,267.29499124493384,669.384839646941,0.285364307450097,0.714635692549903
heuristic_no_delay,63,936.6798308918749,246.63519837537535,690.0446325164995,0.2633078990721276,0.7366921009278724
heuristic_no_delay,64,944.9330463453659,267.29499124493384,677.6380551004321,0.2828718841813471,0.7171281158186529
heuristic_no_delay,65,944.9330463453659,267.29499124493384,677.6380551004321,0.2828718841813471,0.7171281158186529
heuristic_no_delay,66,985.9639930854803,231.13494269650096,754.8290503889793,0.23442533836675536,0.7655746616332446
heuristic_no_delay,67,1028.2890559167297,287.7693375390294,740.5197183777003,0.27985257246804035,0.7201474275319597
heuristic_no_delay,68,1028.2890559167297,287.7693375390294,740.5197183777003,0.27985257246804035,0.7201474275319597
heuristic_no_delay,69,1028.2890559167297,251.6092889905965,776.6797669261332,0.24468731583094053,0.7553126841690595
heuristic_no_delay,70,1028.2890559167297,287.7693375390294,740.5197183777003,0.27985257246804035,0.7201474275319597
heuristic_no_delay,71,1039.8793422522508,287.76933753902927,752.1100047132215,0.27673339189117485,0.7232666081088251
heuristic_no_delay,72,1056.3504754448154,287.76933753902927,768.5811379057861,0.2724184295158795,0.7275815704841205
heuristic_no_delay,73,1081.3650586861943,287.7693375390287,793.5957211471656,0.2661167338702939,0.7338832661297061
heuristic_no_delay,74,1081.3650586861943,287.7693375390287,793.5957211471656,0.2661167338702939,0.7338832661297061
heuristic_no_delay,75,1081.3650586861943,287.7693375390287,793.5957211471656,0.2661167338702939,0.7338832661297061
heuristic_no_delay,76,1117.7179612361447,310.08197459126234,807.6359866448823,0.2774241672275946,0.7225758327724053
heuristic_no_delay,77,1134.6706499253712,310.08197459126234,824.5886753341089,0.27327927677661956,0.7267207232233804
heuristic_no_delay,78,1134.6706499253712,310.08197459126234,824.5886753341089,0.27327927677661956,0.7267207232233804
heuristic_no_delay,79,1166.167643783898,320.1079086043504,846.0597351795476,0.27449561845643994,0.7255043815435601
heuristic_no_delay,80,1178.1098349621436,332.050099782596,846.0597351795476,0.2818498665646619,0.7181501334353381
heuristic_no_delay,81,1210.347250576838,347.54678667444875,862.8004639023892,0.2871463429266368,0.7128536570733631
heuristic_no_delay,82,1223.8959324963544,347.54678667444875,876.3491458219056,0.2839675967919634,0.7160324032080366
heuristic_no_delay,83,1236.42669026052,360.0775444386144,876.3491458219056,0.29122433806629056,0.7087756619337094
heuristic_no_delay,84,1236.42669026052,360.0775444386144,876.3491458219056,0.29122433806629056,0.7087756619337094
heuristic_no_delay,85,1236.42669026052,360.0775444386144,876.3491458219056,0.29122433806629056,0.7087756619337094
heuristic_no_delay,86,1252.9358464658828,360.0775444386146,892.8583020272682,0.2873870561324222,0.7126129438675778
heuristic_no_delay,87,1252.9358464658828,360.0775444386146,892.8583020272682,0.2873870561324222,0.7126129438675778
heuristic_no_delay,88,1302.3846290335362,360.0775444386146,942.3070845949215,0.2764755790352181,0.7235244209647819
heuristic_no_delay,89,1302.3846290335362,360.0775444386146,942.3070845949215,0.2764755790352181,0.7235244209647819
heuristic_no_delay,90,1319.6504479750452,377.3433633801236,942.3070845949215,0.28594190526676444,0.7140580947332356
heuristic_no_delay,91,1319.6504479750452,377.3433633801236,942.3070845949215,0.28594190526676444,0.7140580947332356
heuristic_no_delay,92,1319.6504479750452,339.41775156905624,980.2326964059889,0.2572027706957401,0.74279722930426
heuristic_no_delay,93,1319.6504479750452,377.3433633801236,942.3070845949215,0.28594190526676444,0.7140580947332356
heuristic_no_delay,94,1319.6504479750452,377.3433633801236,942.3070845949215,0.28594190526676444,0.7140580947332356
heuristic_no_delay,95,1319.6504479750452,377.3433633801236,942.3070845949215,0.28594190526676444,0.7140580947332356
heuristic_no_delay,96,1335.4165393683795,393.10945477345797,942.3070845949215,0.2943721626807089,0.705627837319291
heuristic_no_delay,97,1376.7243775398204,393.10945477345854,983.6149227663618,0.2855396920303957,0.7144603079696042
heuristic_no_delay,98,1376.7243775398204,393.10945477345854,983.6149227663618,0.2855396920303957,0.7144603079696042
