,"('D', 'D')","('D', 'I')","('D', 'J')","('D', 'G')","('D', 'C')","('D', 'F')","('D', 'H')","('D', 'B')","('D', 'A')","('D', 'E')","('I', 'D')","('I', 'I')","('I', 'J')","('I', 'G')","('I', 'C')","('I', 'F')","('I', 'H')","('I', 'B')","('I', 'A')","('I', 'E')","('J', 'D')","('J', 'I')","('J', 'J')","('J', 'G')","('J', 'C')","('J', 'F')","('J', 'H')","('J', 'B')","('J', 'A')","('J', 'E')","('G', 'D')","('G', 'I')","('G', 'J')","('G', 'G')","('G', 'C')","('G', 'F')","('G', 'H')","('G', 'B')","('G', 'A')","('G', 'E')","('C', 'D')","('C', 'I')","('C', 'J')","('C', 'G')","('C', 'C')","('C', 'F')","('C', 'H')","('C', 'B')","('C', 'A')","('C', 'E')","('F', 'D')","('F', 'I')","('F', 'J')","('F', 'G')","('F', 'C')","('F', 'F')","('F', 'H')","('F', 'B')","('F', 'A')","('F', 'E')","('H', 'D')","('H', 'I')","('H', 'J')","('H', 'G')","('H', 'C')","('H', 'F')","('H', 'H')","('H', 'B')","('H', 'A')","('H', 'E')","('B', 'D')","('B', 'I')","('B', 'J')","('B', 'G')","('B', 'C')","('B', 'F')","('B', 'H')","('B', 'B')","('B', 'A')","('B', 'E')","('A', 'D')","('A', 'I')","('A', 'J')","('A', 'G')","('A', 'C')","('A', 'F')","('A', 'H')","('A', 'B')","('A', 'A')","('A', 'E')","('E', 'D')","('E', 'I')","('E', 'J')","('E', 'G')","('E', 'C')","('E', 'F')","('E', 'H')","('E', 'B')","('E', 'A')","('E', 'E')"
20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,13.341104266407502,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,13.094304566778266,13.921795677048454,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,,0.0,0.0,0.0,0.0,13.341104266407502,0.0,0.0,0.0,0.0,0.0,
21,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,10.904925124490397,13.341104266407502,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.037260313668911,,0.0,13.094304566778266,13.921795677048454,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,13.094304566778266,0.0,,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,,0.0,0.0,0.0,,13.341104266407502,0.0,0.0,0.0,0.0,0.0,
22,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,13.341104266407502,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,13.094304566778266,13.921795677048454,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,,0.0,0.0,0.0,0.0,13.341104266407502,0.0,0.0,0.0,0.0,0.0,
23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,13.341104266407502,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,13.094304566778266,13.921795677048454,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,,0.0,0.0,0.0,0.0,13.341104266407502,0.0,0.0,0.0,0.0,0.0,
24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,13.341104266407502,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,13.094304566778266,13.921795677048454,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,,0.0,0.0,0.0,0.0,13.341104266407502,0.0,0.0,0.0,0.0,0.0,
25,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,13.341104266407502,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,,0.0,13.094304566778266,13.921795677048454,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,,,0.0,0.0,0.0,,10.904925124490397,0.0,13.921795677048454,0.0,,,0.0,0.0,0.0,0.0,13.341104266407502,0.0,0.0,0.0,0.0,0.0,
26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,5.265359696838637,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,13.341104266407502,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,13.094304566778266,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,8.701809671168826,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,,,0.0,0.0,0.0,5.265359696838637,10.904925124490397,0.0,,0.0,,,0.0,0.0,0.0,0.0,13.341104266407502,0.0,0.0,8.701809671168826,0.0,0.0,
27,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,7.7787134167164185,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,5.265359696838637,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,10.904925124490397,13.341104266407502,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,13.094304566778266,13.921795677048454,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,5.297972194380703,,0.0,7.7787134167164185,0.0,,0.0,13.094304566778266,0.0,,,0.0,0.0,0.0,5.265359696838637,10.904925124490397,0.0,13.921795677048454,5.297972194380703,,,0.0,0.0,0.0,0.0,13.341104266407502,0.0,0.0,,0.0,0.0,
28,,,0.0,0.0,0.0,0.0,0.0,10.449414806032166,,0.0,,,0.0,0.0,0.0,0.0,0.0,7.7787134167164185,,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,5.265359696838637,0.0,0.0,0.0,0.0,,0.0,0.0,11.881619584333132,,10.904925124490397,13.341104266407502,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,13.094304566778266,13.921795677048454,0.0,0.0,0.0,9.011647870223289,11.881619584333132,0.0,0.0,,0.0,5.297972194380703,8.701809671168826,10.449414806032166,7.7787134167164185,0.0,,0.0,13.094304566778266,0.0,,,0.0,,,5.265359696838637,10.904925124490397,0.0,13.921795677048454,5.297972194380703,,,0.0,0.0,0.0,0.0,13.341104266407502,0.0,0.0,8.701809671168826,0.0,0.0,
29,,14.852215206607578,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,14.852215206607578,,0.0,0.0,0.0,0.0,,7.7787134167164185,0.0,0.0,0.0,0.0,,12.759999115462449,0.0,0.0,9.011647870223289,0.0,5.265359696838637,0.0,0.0,0.0,12.759999115462449,,0.0,0.0,11.881619584333132,,10.904925124490397,13.341104266407502,0.0,0.0,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,13.094304566778266,,0.0,0.0,,9.011647870223289,11.881619584333132,0.0,0.0,,0.0,5.297972194380703,8.701809671168826,,7.7787134167164185,0.0,,0.0,13.094304566778266,0.0,,,0.0,0.0,0.0,5.265359696838637,10.904925124490397,0.0,,5.297972194380703,,,0.0,0.0,0.0,0.0,13.341104266407502,0.0,0.0,8.701809671168826,0.0,0.0,
