,"('G', 'G')","('G', 'A')","('G', 'C')","('G', 'J')","('G', 'E')","('G', 'F')","('G', 'I')","('G', 'H')","('G', 'B')","('G', 'D')","('A', 'G')","('A', 'A')","('A', 'C')","('A', 'J')","('A', 'E')","('A', 'F')","('A', 'I')","('A', 'H')","('A', 'B')","('A', 'D')","('C', 'G')","('C', 'A')","('C', 'C')","('C', 'J')","('C', 'E')","('C', 'F')","('C', 'I')","('C', 'H')","('C', 'B')","('C', 'D')","('J', 'G')","('J', 'A')","('J', 'C')","('J', 'J')","('J', 'E')","('J', 'F')","('J', 'I')","('J', 'H')","('J', 'B')","('J', 'D')","('E', 'G')","('E', 'A')","('E', 'C')","('E', 'J')","('E', 'E')","('E', 'F')","('E', 'I')","('E', 'H')","('E', 'B')","('E', 'D')","('F', 'G')","('F', 'A')","('F', 'C')","('F', 'J')","('F', 'E')","('F', 'F')","('F', 'I')","('F', 'H')","('F', 'B')","('F', 'D')","('I', 'G')","('I', 'A')","('I', 'C')","('I', 'J')","('I', 'E')","('I', 'F')","('I', 'I')","('I', 'H')","('I', 'B')","('I', 'D')","('H', 'G')","('H', 'A')","('H', 'C')","('H', 'J')","('H', 'E')","('H', 'F')","('H', 'I')","('H', 'H')","('H', 'B')","('H', 'D')","('B', 'G')","('B', 'A')","('B', 'C')","('B', 'J')","('B', 'E')","('B', 'F')","('B', 'I')","('B', 'H')","('B', 'B')","('B', 'D')","('D', 'G')","('D', 'A')","('D', 'C')","('D', 'J')","('D', 'E')","('D', 'F')","('D', 'I')","('D', 'H')","('D', 'B')","('D', 'D')"
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,,10.904925124490397,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
6,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,,10.904925124490397,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,11.037260313668911,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,9.011647870223289,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
9,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,9.011647870223289,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,11.037260313668911,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,11.037260313668911,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,11.037260313668911,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,11.037260313668911,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,11.037260313668911,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,11.037260313668911,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,9.011647870223289,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,11.037260313668911,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18,,10.904925124490397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,,0.0,0.0,,0.0,0.0,13.094304566778266,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
19,,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,11.037260313668911,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,13.921795677048454,11.037260313668911,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
20,,10.904925124490397,0.0,0.0,13.341104266407502,,0.0,0.0,,0.0,10.904925124490397,,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,13.341104266407502,0.0,0.0,,,0.0,0.0,,0.0,0.0,,13.921795677048454,11.037260313668911,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,,10.904925124490397,0.0,0.0,13.341104266407502,0.0,0.0,0.0,,0.0,10.904925124490397,,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,13.341104266407502,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,11.037260313668911,0.0,0.0,,0.0,0.0,13.094304566778266,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
22,,10.904925124490397,0.0,0.0,13.341104266407502,0.0,0.0,0.0,,0.0,10.904925124490397,,0.0,0.0,0.0,13.921795677048454,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.011647870223289,0.0,0.0,13.341104266407502,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.921795677048454,11.037260313668911,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,13.094304566778266,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
