,"('C', 'C')","('C', 'E')","('C', 'G')","('C', 'I')","('C', 'F')","('C', 'D')","('C', 'B')","('C', 'H')","('C', 'A')","('C', 'J')","('E', 'C')","('E', 'E')","('E', 'G')","('E', 'I')","('E', 'F')","('E', 'D')","('E', 'B')","('E', 'H')","('E', 'A')","('E', 'J')","('G', 'C')","('G', 'E')","('G', 'G')","('G', 'I')","('G', 'F')","('G', 'D')","('G', 'B')","('G', 'H')","('G', 'A')","('G', 'J')","('I', 'C')","('I', 'E')","('I', 'G')","('I', 'I')","('I', 'F')","('I', 'D')","('I', 'B')","('I', 'H')","('I', 'A')","('I', 'J')","('F', 'C')","('F', 'E')","('F', 'G')","('F', 'I')","('F', 'F')","('F', 'D')","('F', 'B')","('F', 'H')","('F', 'A')","('F', 'J')","('D', 'C')","('D', 'E')","('D', 'G')","('D', 'I')","('D', 'F')","('D', 'D')","('D', 'B')","('D', 'H')","('D', 'A')","('D', 'J')","('B', 'C')","('B', 'E')","('B', 'G')","('B', 'I')","('B', 'F')","('B', 'D')","('B', 'B')","('B', 'H')","('B', 'A')","('B', 'J')","('H', 'C')","('H', 'E')","('H', 'G')","('H', 'I')","('H', 'F')","('H', 'D')","('H', 'B')","('H', 'H')","('H', 'A')","('H', 'J')","('A', 'C')","('A', 'E')","('A', 'G')","('A', 'I')","('A', 'F')","('A', 'D')","('A', 'B')","('A', 'H')","('A', 'A')","('A', 'J')","('J', 'C')","('J', 'E')","('J', 'G')","('J', 'I')","('J', 'F')","('J', 'D')","('J', 'B')","('J', 'H')","('J', 'A')","('J', 'J')"
10,,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.011647870223289,0.0,0.0,10.904925124490397,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,
11,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,13.094304566778266,,13.921795677048454,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,9.011647870223289,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,
12,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,13.921795677048454,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,13.094304566778266,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.011647870223289,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,
13,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,13.921795677048454,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.011647870223289,0.0,0.0,,0.0,13.921795677048454,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,
14,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,9.011647870223289,0.0,0.0,10.904925124490397,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,
15,,0.0,,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,13.921795677048454,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.011647870223289,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,
16,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,13.921795677048454,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.011647870223289,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.011647870223289,0.0,
17,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,13.094304566778266,,13.921795677048454,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,9.011647870223289,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,9.011647870223289,0.0,
18,,0.0,0.0,,11.037260313668911,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.904925124490397,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,,0.0,13.921795677048454,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,9.011647870223289,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,
19,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,10.904925124490397,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,11.037260313668911,0.0,,0.0,,0.0,13.094304566778266,0.0,13.921795677048454,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.011647870223289,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,
20,,,0.0,,11.037260313668911,0.0,,,0.0,0.0,,,13.341104266407502,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.341104266407502,,0.0,0.0,0.0,,0.0,10.904925124490397,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,,0.0,0.0,,0.0,13.094304566778266,0.0,13.921795677048454,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,13.094304566778266,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,
21,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,,13.341104266407502,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.341104266407502,,0.0,0.0,0.0,,0.0,10.904925124490397,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,13.921795677048454,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.011647870223289,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,9.011647870223289,0.0,
22,,0.0,,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,,13.341104266407502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13.341104266407502,,0.0,,0.0,,,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,11.037260313668911,0.0,,0.0,,0.0,13.094304566778266,0.0,13.921795677048454,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,9.011647870223289,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,
23,,0.0,0.0,,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,,13.341104266407502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.341104266407502,,0.0,0.0,0.0,,0.0,10.904925124490397,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,,13.094304566778266,0.0,13.921795677048454,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.011647870223289,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,
24,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,,13.341104266407502,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,13.341104266407502,,0.0,0.0,0.0,,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,13.921795677048454,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,13.094304566778266,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.011647870223289,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,0.0,
25,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,,13.341104266407502,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.341104266407502,,0.0,0.0,0.0,,0.0,10.904925124490397,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,11.037260313668911,0.0,0.0,0.0,,,13.094304566778266,0.0,13.921795677048454,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,9.011647870223289,0.0,0.0,10.904925124490397,,13.921795677048454,0.0,,0.0,,5.265359696838637,0.0,,,0.0,0.0,0.0,0.0,9.011647870223289,5.265359696838637,
26,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,13.341104266407502,0.0,0.0,0.0,0.0,8.701809671168826,0.0,0.0,0.0,13.341104266407502,,0.0,0.0,0.0,,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,13.921795677048454,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,8.701809671168826,0.0,0.0,0.0,0.0,0.0,,0.0,9.011647870223289,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,0.0,,5.265359696838637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,5.265359696838637,
27,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,,13.341104266407502,0.0,0.0,0.0,0.0,8.701809671168826,0.0,0.0,0.0,13.341104266407502,,0.0,0.0,0.0,,0.0,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,7.7787134167164185,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,13.094304566778266,,13.921795677048454,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,7.7787134167164185,13.094304566778266,0.0,,0.0,,0.0,0.0,8.701809671168826,0.0,0.0,,0.0,0.0,,5.297972194380703,9.011647870223289,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,5.297972194380703,,5.265359696838637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,5.265359696838637,
28,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,,13.341104266407502,0.0,0.0,0.0,0.0,8.701809671168826,0.0,0.0,0.0,13.341104266407502,,0.0,0.0,0.0,,11.881619584333132,10.904925124490397,0.0,0.0,0.0,0.0,,0.0,0.0,7.7787134167164185,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,13.921795677048454,0.0,0.0,0.0,0.0,0.0,0.0,,10.449414806032166,0.0,0.0,0.0,0.0,0.0,,7.7787134167164185,13.094304566778266,10.449414806032166,,0.0,,0.0,0.0,8.701809671168826,11.881619584333132,0.0,0.0,0.0,0.0,,5.297972194380703,9.011647870223289,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,5.297972194380703,,5.265359696838637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011647870223289,5.265359696838637,
29,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,0.0,0.0,0.0,,13.341104266407502,0.0,0.0,0.0,0.0,8.701809671168826,0.0,0.0,0.0,13.341104266407502,,0.0,0.0,0.0,,11.881619584333132,10.904925124490397,12.759999115462449,0.0,0.0,0.0,,0.0,14.852215206607578,7.7787134167164185,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,,0.0,13.921795677048454,0.0,0.0,0.0,0.0,14.852215206607578,0.0,,10.449414806032166,0.0,0.0,0.0,0.0,0.0,,7.7787134167164185,,10.449414806032166,,0.0,,0.0,0.0,8.701809671168826,11.881619584333132,0.0,0.0,0.0,0.0,,5.297972194380703,9.011647870223289,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,5.297972194380703,,5.265359696838637,0.0,0.0,12.759999115462449,0.0,0.0,0.0,0.0,9.011647870223289,5.265359696838637,
30,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,13.341104266407502,0.0,0.0,0.0,0.0,8.701809671168826,0.0,0.0,0.0,13.341104266407502,,0.0,0.0,0.0,,11.881619584333132,10.904925124490397,,0.0,0.0,0.0,,0.0,14.852215206607578,7.7787134167164185,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,13.921795677048454,0.0,0.0,0.0,0.0,14.852215206607578,0.0,,10.449414806032166,0.0,0.0,0.0,,0.0,,7.7787134167164185,13.094304566778266,10.449414806032166,,0.0,,0.0,0.0,8.701809671168826,11.881619584333132,0.0,0.0,0.0,0.0,,5.297972194380703,9.011647870223289,0.0,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,5.297972194380703,,5.265359696838637,0.0,0.0,,0.0,0.0,0.0,0.0,9.011647870223289,5.265359696838637,
31,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,12.415504997598328,0.0,0.0,,13.341104266407502,0.0,0.0,0.0,0.0,8.701809671168826,0.0,0.0,0.0,13.341104266407502,,0.0,0.0,0.0,,,10.904925124490397,12.759999115462449,0.0,0.0,0.0,,0.0,14.852215206607578,7.7787134167164185,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,13.921795677048454,0.0,0.0,0.0,0.0,14.852215206607578,0.0,,10.449414806032166,0.0,0.0,0.0,0.0,0.0,,7.7787134167164185,13.094304566778266,10.449414806032166,,,,0.0,0.0,8.701809671168826,,0.0,0.0,0.0,,,5.297972194380703,9.011647870223289,12.415504997598328,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,5.297972194380703,,5.265359696838637,0.0,0.0,12.759999115462449,0.0,0.0,0.0,0.0,9.011647870223289,5.265359696838637,
32,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,12.415504997598328,0.0,0.0,,13.341104266407502,0.0,0.0,0.0,0.0,8.701809671168826,0.0,0.0,0.0,13.341104266407502,,0.0,0.0,0.0,,11.881619584333132,10.904925124490397,12.759999115462449,0.0,0.0,0.0,,0.0,14.852215206607578,7.7787134167164185,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,,0.0,13.921795677048454,0.0,0.0,0.0,0.0,14.852215206607578,0.0,,10.449414806032166,0.0,0.0,0.0,0.0,0.0,,7.7787134167164185,,10.449414806032166,,0.0,,0.0,0.0,8.701809671168826,11.881619584333132,0.0,0.0,0.0,0.0,,,9.011647870223289,12.415504997598328,0.0,10.904925124490397,0.0,13.921795677048454,0.0,,,,5.265359696838637,0.0,0.0,12.759999115462449,0.0,0.0,0.0,0.0,9.011647870223289,5.265359696838637,
33,,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,12.415504997598328,0.0,0.0,,13.341104266407502,0.0,0.0,0.0,0.0,8.701809671168826,0.0,,0.0,13.341104266407502,,0.0,0.0,0.0,,11.881619584333132,10.904925124490397,12.759999115462449,0.0,0.0,0.0,,0.0,14.852215206607578,7.7787134167164185,0.0,0.0,0.0,11.037260313668911,0.0,0.0,0.0,,0.0,13.094304566778266,0.0,,0.0,0.0,0.0,0.0,14.852215206607578,0.0,,10.449414806032166,0.0,0.0,0.0,0.0,0.0,,7.7787134167164185,13.094304566778266,10.449414806032166,,0.0,,0.0,0.0,8.701809671168826,11.881619584333132,0.0,0.0,0.0,0.0,,5.297972194380703,9.011647870223289,12.415504997598328,0.0,10.904925124490397,0.0,,0.0,,5.297972194380703,,5.265359696838637,0.0,,12.759999115462449,0.0,0.0,0.0,0.0,9.011647870223289,5.265359696838637,
