,"('J', 'J')","('J', 'C')","('J', 'H')","('J', 'G')","('J', 'E')","('J', 'B')","('J', 'A')","('J', 'I')","('J', 'F')","('J', 'D')","('C', 'J')","('C', 'C')","('C', 'H')","('C', 'G')","('C', 'E')","('C', 'B')","('C', 'A')","('C', 'I')","('C', 'F')","('C', 'D')","('H', 'J')","('H', 'C')","('H', 'H')","('H', 'G')","('H', 'E')","('H', 'B')","('H', 'A')","('H', 'I')","('H', 'F')","('H', 'D')","('G', 'J')","('G', 'C')","('G', 'H')","('G', 'G')","('G', 'E')","('G', 'B')","('G', 'A')","('G', 'I')","('G', 'F')","('G', 'D')","('E', 'J')","('E', 'C')","('E', 'H')","('E', 'G')","('E', 'E')","('E', 'B')","('E', 'A')","('E', 'I')","('E', 'F')","('E', 'D')","('B', 'J')","('B', 'C')","('B', 'H')","('B', 'G')","('B', 'E')","('B', 'B')","('B', 'A')","('B', 'I')","('B', 'F')","('B', 'D')","('A', 'J')","('A', 'C')","('A', 'H')","('A', 'G')","('A', 'E')","('A', 'B')","('A', 'A')","('A', 'I')","('A', 'F')","('A', 'D')","('I', 'J')","('I', 'C')","('I', 'H')","('I', 'G')","('I', 'E')","('I', 'B')","('I', 'A')","('I', 'I')","('I', 'F')","('I', 'D')","('F', 'J')","('F', 'C')","('F', 'H')","('F', 'G')","('F', 'E')","('F', 'B')","('F', 'A')","('F', 'I')","('F', 'F')","('F', 'D')","('D', 'J')","('D', 'C')","('D', 'H')","('D', 'G')","('D', 'E')","('D', 'B')","('D', 'A')","('D', 'I')","('D', 'F')","('D', 'D')"
30,,,9.011647870223289,12.759999115462449,,,,,,,,,,,,,,,11.037260313668911,,9.011647870223289,,,11.881619584333132,8.701809671168826,,5.297972194380703,,,,12.759999115462449,,11.881619584333132,,13.341104266407502,,10.904925124490397,,,,,,8.701809671168826,13.341104266407502,,,,,,,,,,,,,11.394267984578835,7.7787134167164185,,10.449414806032166,,,5.297972194380703,10.904925124490397,,11.394267984578835,,,,,,,,,,7.7787134167164185,,,,14.852215206607578,,11.037260313668911,,,,,,,,,,,,,,10.449414806032166,,14.852215206607578,,
31,,,9.011647870223289,12.759999115462449,,,,,,,,,,,,,,,11.037260313668911,,9.011647870223289,,,11.881619584333132,,,5.297972194380703,,,,12.759999115462449,,11.881619584333132,,13.341104266407502,,,,,,,,,13.341104266407502,,,,,,,,,,,,,11.394267984578835,7.7787134167164185,,10.449414806032166,,,5.297972194380703,,,11.394267984578835,,,13.921795677048454,,,,,,,7.7787134167164185,,,,14.852215206607578,,11.037260313668911,,,,,13.921795677048454,,,,,,,,,10.449414806032166,,14.852215206607578,,
32,,,9.011647870223289,12.759999115462449,,,,,,,,,,,,,12.415504997598328,,11.037260313668911,,9.011647870223289,,,11.881619584333132,,,5.297972194380703,,,,12.759999115462449,,11.881619584333132,,13.341104266407502,,,,,,,,,13.341104266407502,,,,,,,,,,,,,11.394267984578835,7.7787134167164185,13.094304566778266,10.449414806032166,,12.415504997598328,5.297972194380703,,,11.394267984578835,,,,,,,,,,7.7787134167164185,,,,,,11.037260313668911,,,,13.094304566778266,,,,,,,,,,10.449414806032166,,,,
33,,,9.011647870223289,12.759999115462449,,,,,,,,,,,,,12.415504997598328,,11.037260313668911,,9.011647870223289,,,11.881619584333132,,,5.297972194380703,,,,12.759999115462449,,11.881619584333132,,13.341104266407502,,,,,,,,,13.341104266407502,,,,,,,,,,,,,11.394267984578835,7.7787134167164185,13.094304566778266,10.449414806032166,,12.415504997598328,5.297972194380703,,,11.394267984578835,,,,,,,,,,7.7787134167164185,,,,14.852215206607578,,11.037260313668911,,,,13.094304566778266,,,,,,,,,,10.449414806032166,,14.852215206607578,,
34,,,9.011647870223289,12.759999115462449,,,,,,,,,,,,,12.415504997598328,,11.037260313668911,,9.011647870223289,,,11.881619584333132,,,5.297972194380703,,,,12.759999115462449,,11.881619584333132,,13.341104266407502,,,,,,,,,13.341104266407502,,,,,,,,,,,,,11.394267984578835,7.7787134167164185,13.094304566778266,10.449414806032166,,12.415504997598328,5.297972194380703,,,11.394267984578835,,,,,,,,,,7.7787134167164185,,,,14.852215206607578,,11.037260313668911,,,,13.094304566778266,,,,,,,,,,10.449414806032166,,14.852215206607578,,
35,,,9.011647870223289,12.759999115462449,,,,,,,,,,,,,12.415504997598328,,11.037260313668911,,9.011647870223289,,,11.881619584333132,,,5.297972194380703,,,,12.759999115462449,,11.881619584333132,,13.341104266407502,,,,,,,,,13.341104266407502,,,,,,,,,,,,,11.394267984578835,7.7787134167164185,13.094304566778266,10.449414806032166,,12.415504997598328,5.297972194380703,,,11.394267984578835,,,,,,,,,,7.7787134167164185,,,,,,11.037260313668911,,,,13.094304566778266,,,,,,,,,,10.449414806032166,,,,
36,,,9.011647870223289,12.759999115462449,,,,,,,,,,,,,12.415504997598328,,11.037260313668911,,9.011647870223289,,,11.881619584333132,,,5.297972194380703,,,,12.759999115462449,,11.881619584333132,,13.341104266407502,,,,,,,,,13.341104266407502,,,,,,,,,,,,,11.394267984578835,7.7787134167164185,13.094304566778266,10.449414806032166,,12.415504997598328,5.297972194380703,,,11.394267984578835,,,,,,,,,,7.7787134167164185,,,,14.852215206607578,,11.037260313668911,,,,13.094304566778266,,,,,,,,,,10.449414806032166,,14.852215206607578,,
37,,,9.011647870223289,,,,,,,,,,,,,,12.415504997598328,,11.037260313668911,,9.011647870223289,,,11.881619584333132,8.701809671168826,,5.297972194380703,,,,,,11.881619584333132,,13.341104266407502,,,,,,,,8.701809671168826,13.341104266407502,,,,,,,,,,,,,11.394267984578835,7.7787134167164185,13.094304566778266,10.449414806032166,,12.415504997598328,5.297972194380703,,,11.394267984578835,,,,,,,,,,7.7787134167164185,,,,14.852215206607578,,11.037260313668911,,,,13.094304566778266,,,,,,,,,,10.449414806032166,,14.852215206607578,,
38,,,9.011647870223289,12.759999115462449,,,,,,,,,,,,,12.415504997598328,5.788001980784582,11.037260313668911,,9.011647870223289,,,11.881619584333132,8.701809671168826,,5.297972194380703,,,7.278982756515468,12.759999115462449,,11.881619584333132,,13.341104266407502,,,,,,,,8.701809671168826,13.341104266407502,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,10.449414806032166,,12.415504997598328,5.297972194380703,,,11.394267984578835,,,,,,5.788001980784582,,,,,,,,,,11.037260313668911,,,,13.094304566778266,,,,,,,7.278982756515468,,,10.449414806032166,,,,
39,,,9.011647870223289,12.759999115462449,,,,,,,,,,,,,12.415504997598328,5.788001980784582,11.037260313668911,,9.011647870223289,,,,,,5.297972194380703,,,7.278982756515468,12.759999115462449,,,,13.341104266407502,,,,,,,,,13.341104266407502,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,10.449414806032166,,12.415504997598328,5.297972194380703,,,11.394267984578835,,,,,,5.788001980784582,,,,,,,,,,11.037260313668911,,,,13.094304566778266,,,,,,,7.278982756515468,,,10.449414806032166,,,,
40,,,9.011647870223289,12.759999115462449,,,,,,,,,,,,,12.415504997598328,5.788001980784582,11.037260313668911,,9.011647870223289,,,11.881619584333132,,,5.297972194380703,,,7.278982756515468,12.759999115462449,,11.881619584333132,,13.341104266407502,,,,,,,,,13.341104266407502,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,10.449414806032166,,12.415504997598328,5.297972194380703,,,11.394267984578835,,,13.921795677048454,,,5.788001980784582,,,,,,,,,,11.037260313668911,,,,13.094304566778266,13.921795677048454,,,,,,7.278982756515468,,,10.449414806032166,,,,
41,,,9.011647870223289,12.759999115462449,,,,,,,,,,,,,12.415504997598328,5.788001980784582,11.037260313668911,,9.011647870223289,,,11.881619584333132,,,5.297972194380703,13.218025940068083,,7.278982756515468,12.759999115462449,,11.881619584333132,,13.341104266407502,,,,,,,,,13.341104266407502,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,10.449414806032166,,12.415504997598328,5.297972194380703,,,11.394267984578835,,,13.921795677048454,,,5.788001980784582,13.218025940068083,,,,,,,,,11.037260313668911,,,,13.094304566778266,13.921795677048454,,,,,,7.278982756515468,,,10.449414806032166,,,,
42,,,9.011647870223289,12.759999115462449,,,,,,,,,,,,,12.415504997598328,5.788001980784582,11.037260313668911,,9.011647870223289,,,,,,5.297972194380703,13.218025940068083,,7.278982756515468,12.759999115462449,,,,13.341104266407502,,,,,,,,,13.341104266407502,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,10.449414806032166,,12.415504997598328,5.297972194380703,,,11.394267984578835,,,,,,5.788001980784582,13.218025940068083,,,,,,,,,11.037260313668911,,,,13.094304566778266,,,,,,,7.278982756515468,,,10.449414806032166,,,,
43,,,9.011647870223289,12.759999115462449,,,,,,,,,,,,,12.415504997598328,5.788001980784582,11.037260313668911,,9.011647870223289,,,,,,5.297972194380703,,,7.278982756515468,12.759999115462449,,,,13.341104266407502,,,,,,,,,13.341104266407502,,,,,,,,,,,,,11.394267984578835,,13.094304566778266,10.449414806032166,,12.415504997598328,5.297972194380703,,,11.394267984578835,,,,,,5.788001980784582,,,,,,,,,,11.037260313668911,,,,13.094304566778266,,,,,,,7.278982756515468,,,10.449414806032166,,,,
44,,,9.011647870223289,12.759999115462449,,,,,,,,,,,,,12.415504997598328,5.788001980784582,11.037260313668911,,9.011647870223289,,,,,11.981393949882268,5.297972194380703,13.218025940068083,,7.278982756515468,12.759999115462449,,,,13.341104266407502,,,,,,,,,13.341104266407502,,,,,,,,,11.981393949882268,,,,11.394267984578835,,13.094304566778266,10.449414806032166,,12.415504997598328,5.297972194380703,,,11.394267984578835,,,,,,5.788001980784582,13.218025940068083,,,,,,,,,11.037260313668911,,,,13.094304566778266,,,,,,,7.278982756515468,,,10.449414806032166,,,,
45,,,9.011647870223289,12.759999115462449,,,,,,,,,,,5.96716376833464,,12.415504997598328,5.788001980784582,,,9.011647870223289,,,,,11.981393949882268,5.297972194380703,13.218025940068083,,7.278982756515468,12.759999115462449,,,,13.341104266407502,,,,,,,5.96716376833464,,13.341104266407502,,,,,,,,,11.981393949882268,,,,11.394267984578835,,13.094304566778266,10.449414806032166,,12.415504997598328,5.297972194380703,,,11.394267984578835,,,,,,5.788001980784582,13.218025940068083,,,,,,,,,,,,,13.094304566778266,,,,,,,7.278982756515468,,,10.449414806032166,,,,
46,,,9.011647870223289,12.759999115462449,,,,,,,,,,,5.96716376833464,,12.415504997598328,5.788001980784582,,,9.011647870223289,,,,,11.981393949882268,5.297972194380703,13.218025940068083,,7.278982756515468,12.759999115462449,,,,13.341104266407502,,,,,,,5.96716376833464,,13.341104266407502,,,,,,,,,11.981393949882268,,,,11.394267984578835,,13.094304566778266,10.449414806032166,,12.415504997598328,5.297972194380703,,,11.394267984578835,,,,,,5.788001980784582,13.218025940068083,,,,,,,,,,,,,13.094304566778266,,,,,,,7.278982756515468,,,10.449414806032166,,,,
47,,,9.011647870223289,12.759999115462449,,,,,,,,,,,5.96716376833464,,12.415504997598328,5.788001980784582,,,9.011647870223289,,,,,11.981393949882268,5.297972194380703,13.218025940068083,,7.278982756515468,12.759999115462449,,,,13.341104266407502,,,,,,,5.96716376833464,,13.341104266407502,,,,,,13.85451747936807,,,11.981393949882268,,,,11.394267984578835,,13.094304566778266,10.449414806032166,,12.415504997598328,5.297972194380703,,,11.394267984578835,,,,,,5.788001980784582,13.218025940068083,,,,,,,,,,,,,13.094304566778266,,,,,,,7.278982756515468,,13.85451747936807,10.449414806032166,,,,
48,,,9.011647870223289,,,,,,,,,,,,5.96716376833464,,12.415504997598328,5.788001980784582,,,9.011647870223289,,,,,11.981393949882268,5.297972194380703,13.218025940068083,,7.278982756515468,,,,,13.341104266407502,,,,,,,5.96716376833464,,13.341104266407502,,,,,,13.85451747936807,,,11.981393949882268,,,,11.394267984578835,,13.094304566778266,10.449414806032166,,12.415504997598328,5.297972194380703,,,11.394267984578835,,,,,,5.788001980784582,13.218025940068083,,,,,,,,,,,,,13.094304566778266,,,,,,,7.278982756515468,,13.85451747936807,10.449414806032166,,,,
49,,,9.011647870223289,12.759999115462449,,,,,,13.664836667552699,,,6.248261628532093,,5.96716376833464,,12.415504997598328,5.788001980784582,,6.022102765198487,9.011647870223289,6.248261628532093,,,,11.981393949882268,5.297972194380703,13.218025940068083,,7.278982756515468,12.759999115462449,,,,13.341104266407502,,,,,,,5.96716376833464,,13.341104266407502,,,,,,13.85451747936807,,,11.981393949882268,,,,11.394267984578835,,13.094304566778266,10.449414806032166,,12.415504997598328,5.297972194380703,,,11.394267984578835,,,,,,5.788001980784582,13.218025940068083,,,,,,,,,,,,,13.094304566778266,,,,,13.664836667552699,6.022102765198487,7.278982756515468,,13.85451747936807,10.449414806032166,,,,
